"","Area","Classification","Fiscal.Year","Customer","Amount"
"73","Services","Competition with single offer","1989","Other DoD",1609000
"74","Services","No competition","1989","Other DoD",751000
"75","Products","Competition with single offer","1989","Other DoD",953000
"76","Services","Effective Competition","1990","Air Force",630099000
"77","Services","No competition","1990","Air Force",251337000
"78","Services","Competition with single offer","1990","Air Force",780644000
"79","R&D","Competition with single offer","1990","Air Force",262917000
"80","R&D","Unlabeled","1990","Air Force",3062714000
"81","Services","Unlabeled","1990","Army",60218000
"82","Services","No competition","1990","Army",55407000
"83","Services","No competition","1990","Army",8663000
"84","Products","Effective Competition","1990","Army",1819942000
"85","R&D","No competition","1990","Army",741317000
"86","R&D","Unlabeled","1990","Army",14345000
"87","Services","No competition","1990","DLA",23544000
"88","Products","Effective Competition","1990","DLA",2154715000
"89","Services","Competition with single offer","1990","Navy",91397000
"90","Services","No competition","1990","Navy",45902000
"91","Services","Effective Competition","1990","Navy",473208000
"92","Services","Effective Competition","1990","Navy",121436000
"93","Services","Unlabeled","1990","Navy",68380000
"94","Products","No competition","1990","Navy",603312000
"95","Services","Competition with single offer","1990","Other DoD",2682000
"96","Services","Competition with single offer","1990","Other DoD",44922000
"97","Services","No competition","1990","Other DoD",588000
"98","Products","Effective Competition","1990","Other DoD",229595000
"99","Services","Effective Competition","1991","Air Force",1596629000
"100","Services","Effective Competition","1991","Air Force",37168000
"101","Services","No competition","1991","Air Force",957383000
"102","Products","No competition","1991","Air Force",3551389000
"103","R&D","Competition with single offer","1991","Air Force",374219000
"104","R&D","Unlabeled","1991","Air Force",2333741000
"105","Services","Unlabeled","1991","Army",122000
"106","Services","Competition with single offer","1991","Army",51506000
"107","Services","No competition","1991","Army",78619000
"108","Services","No competition","1991","Army",86811000
"109","Services","No competition","1991","Army",223053000
"110","Services","Competition with single offer","1991","DLA",2322000
"111","Services","No competition","1991","DLA",7788000
"112","Services","No competition","1991","DLA",8552000
"113","Services","Effective Competition","1991","Navy",503430570
"114","Services","Effective Competition","1991","Navy",2339891962
"115","Services","Unlabeled","1991","Navy",48247930
"116","Products","No competition","1991","Navy",1149172837
"117","R&D","Unlabeled","1991","Navy",252632000
"118","Services","Competition with single offer","1991","Other DoD",2987000
"119","Services","Unlabeled","1991","Other DoD",407000
"120","Services","Competition with single offer","1988","Navy",85000
"121","Services","Effective Competition","1988","Navy",198000
"122","Products","Effective Competition","1988","Navy",779000
"123","Services","No competition","1989","Army",499000
"124","Services","Effective Competition","1989","Army",51000
"125","Services","Effective Competition","1989","Army",859000
"126","Products","No competition","1989","Army",47334000
"127",NA,"Unlabeled","1989","Navy",NA
"128","Services","Effective Competition","1989","Navy",411731000
"129","Services","Unlabeled","1989","Navy",4084000
"130","Services","No competition","1989","Navy",3163000
"131","Services","No competition","1989","Navy",444000
"132","Services","No competition","1989","Navy",18670000
"133","R&D","Competition with single offer","1989","Navy",1946000
"134","R&D","Effective Competition","1989","Navy",9579000
"135","Services","No competition","1989","Other DoD",3157000
"136","R&D","No competition","1989","Other DoD",3345000
"137","Services","Unlabeled","1990","Air Force",128355000
"138","Services","No competition","1990","Air Force",206128000
"139","Services","Effective Competition","1990","Air Force",463622000
"140","Services","No competition","1990","Air Force",414000
"141","Products","Unlabeled","1990","Air Force",767037000
"142","R&D","Unlabeled","1990","Air Force",1633000
"143",NA,"Unlabeled","1990","Army",NA
"144","Services","Competition with single offer","1990","Army",97110000
"145","Services","Effective Competition","1990","Army",230762000
"146","Services","No competition","1990","Army",165248000
"147","Services","No competition","1990","Army",61876000
"148","Services","No competition","1990","Army",6752000
"149","R&D","Competition with single offer","1990","Army",149511000
"150","R&D","Unlabeled","1990","Army",7676000
"151",NA,"Unlabeled","1990","DLA",NA
"152","Services","Competition with single offer","1990","DLA",588000
"153","Services","Effective Competition","1990","DLA",104540000
"154","R&D","Competition with single offer","1990","DLA",35000
"155","Services","Unlabeled","1990","Navy",12044000
"156","Services","Unlabeled","1990","Navy",4180000
"157","Services","No competition","1990","Navy",1185193781
"158","Products","No competition","1990","Navy",7989960032
"159","Products","No competition","1990","Navy",1333027000
"160","R&D","No competition","1990","Navy",227196000
"161","Services","No competition","1990","Other DoD",1329000
"162","Services","Unlabeled","1990","Other DoD",396000
"163","Products","Unlabeled","1990","Other DoD",20736000
"164","R&D","Competition with single offer","1990","Other DoD",188192000
"165","R&D","No competition","1990","Other DoD",388548000
"166","Services","Unlabeled","1991","Air Force",31081000
"167","Services","Competition with single offer","1991","Air Force",66269000
"168","Services","No competition","1991","Air Force",410941000
"169","Services","No competition","1991","Air Force",56749000
"170","Services","Unlabeled","1991","Air Force",76000
"171","Products","Effective Competition","1991","Air Force",6390146000
"172","Services","Unlabeled","1991","Army",25901000
"173","Services","Unlabeled","1991","Army",170000
"174","Services","Competition with single offer","1991","Army",4897000
"175","Services","No competition","1991","Army",489086000
"176","Services","No competition","1991","Army",510313000
"177","Products","No competition","1991","Army",2576793000
"178","R&D","Effective Competition","1991","Army",2495184000
"179","Products","No competition","1988","Navy",869000
"180","R&D","Effective Competition","1988","Navy",89000
"181",NA,"Unlabeled","1989","Army",NA
"182","Services","Effective Competition","1989","Army",61774000
"183","R&D","Competition with single offer","1989","Army",44000
"184","Services","Unlabeled","1989","Navy",850000
"185","Services","Competition with single offer","1989","Navy",12269000
"186","Services","Unlabeled","1989","Navy",2092000
"187","Services","Competition with single offer","1989","Navy",12410000
"188","Services","No competition","1989","Navy",15932000
"189","R&D","Unlabeled","1989","Navy",138000
"190","Services","Effective Competition","1989","Other DoD",762000
"191","Services","No competition","1989","Other DoD",299000
"192","Products","No competition","1989","Other DoD",1266000
"193","Services","No competition","1990","Air Force",193266000
"194","Services","Competition with single offer","1990","Air Force",57384000
"195","Products","Effective Competition","1990","Air Force",4026292000
"196","Products","Unlabeled","1990","Air Force",5271657000
"197","R&D","No competition","1990","Air Force",159265000
"198","Services","Unlabeled","1990","Army",11253000
"199","Services","Unlabeled","1990","Army",52000
"200","Services","Effective Competition","1990","Army",105443000
"201","Products","No competition","1990","Army",615827000
"202","Services","No competition","1990","DLA",15969000
"203","Products","No competition","1990","DLA",28245000
"204",NA,"Unlabeled","1990","Navy",NA
"205","Services","Competition with single offer","1990","Navy",129605000
"206","Services","Effective Competition","1990","Navy",3196224194
"207","Services","Effective Competition","1990","Navy",2338703778
"208","Services","Competition with single offer","1990","Navy",114852000
"209","Services","Effective Competition","1990","Navy",249799
"210","Services","No competition","1990","Navy",223196000
"211","Services","Unlabeled","1990","Navy",918000
"212","Services","No competition","1990","Navy",486605000
"213","R&D","Effective Competition","1990","Navy",2452135764
"214","R&D","No competition","1990","Navy",556868000
"215","Services","Effective Competition","1990","Other DoD",593884000
"216","Services","No competition","1990","Other DoD",19853000
"217","Products","No competition","1990","Other DoD",75064000
"218","Products","No competition","1991","Air Force",2487551000
"219","R&D","Effective Competition","1991","Air Force",3465621000
"220","Services","Competition with single offer","1991","Army",112422000
"221","Services","Competition with single offer","1991","Army",363649000
"222","Services","Effective Competition","1991","Army",5681787000
"223","Services","No competition","1991","Army",676636000
"224","Services","No competition","1991","Army",474940000
"225","R&D","No competition","1991","Army",119208000
"226","R&D","Unlabeled","1991","Army",52230000
"227","Services","Competition with single offer","1991","DLA",1258000
"228","Services","No competition","1991","DLA",113000
"229","Services","Effective Competition","1991","DLA",68761000
"230","Services","No competition","1991","DLA",9269000
"231","Services","No competition","1991","DLA",7969000
"232","R&D","No competition","1991","DLA",207000
"233","Services","Unlabeled","1991","Navy",916000
"234","Services","Unlabeled","1991","Navy",11259200
"235","Services","Competition with single offer","1991","Navy",6149940
"236","Services","Effective Competition","1991","Navy",129421204
"237","Services","Competition with single offer","1991","Navy",308528017
"238","Services","No competition","1991","Navy",1290555970
"239","Services","Effective Competition","1991","Other DoD",8650000
"240",NA,"Unlabeled",NA,"Air Force",259871
"241","R&D","No competition","1988","Other DoD",58000
"242","Services","Effective Competition","1989","Navy",260815000
"243","Services","Competition with single offer","1989","Navy",418000
"244","Services","Effective Competition","1989","Navy",6731000
"245","Services","Unlabeled","1989","Navy",-30000
"246","Services","Unlabeled","1989","Navy",9169000
"247","Products","No competition","1989","Navy",2308000
"248","Products","Unlabeled","1989","Navy",8661000
"249","R&D","No competition","1989","Navy",7273000
"250","R&D","No competition","1989","Navy",2980000
"251","Services","No competition","1989","Other DoD",205000
"252","Products","Effective Competition","1989","Other DoD",1657000
"253","Services","Unlabeled","1990","Air Force",50147000
"254","Services","No competition","1990","Air Force",196508000
"255","Services","Unlabeled","1990","Air Force",91000
"256","Services","Competition with single offer","1990","Air Force",2088000
"257","Services","Effective Competition","1990","Air Force",25824000
"258","Services","No competition","1990","Air Force",229070000
"259","Products","No competition","1990","Air Force",5393373000
"260","Products","No competition","1990","Air Force",1857500000
"261","Services","Competition with single offer","1990","Army",91307000
"262","Services","Effective Competition","1990","Army",3326217000
"263","Services","Competition with single offer","1990","Army",56182000
"264","Services","Unlabeled","1990","Army",16964000
"265","R&D","No competition","1990","Army",100269000
"266","Services","Effective Competition","1990","DLA",44006000
"267","Services","Unlabeled","1990","DLA",202000
"268","R&D","No competition","1990","DLA",406000
"269","Services","Unlabeled","1990","Navy",174205000
"270","Services","Competition with single offer","1990","Navy",391598000
"271","Services","Effective Competition","1990","Navy",1941130378
"272","Products","Competition with single offer","1990","Navy",307981000
"273","Products","Effective Competition","1990","Navy",8329363083
"274","Services","Effective Competition","1990","Other DoD",2915000
"275","Services","No competition","1990","Other DoD",48583000
"276","Services","Unlabeled","1990","Other DoD",45000
"277","Services","No competition","1990","Other DoD",23732000
"278","Products","No competition","1990","Other DoD",83171000
"279","R&D","No competition","1990","Other DoD",33704000
"280","Services","No competition","1991","Air Force",573072000
"281","Services","No competition","1991","Air Force",163037000
"282","Services","No competition","1991","Air Force",679526000
"283","R&D","No competition","1991","Air Force",168777000
"284","Services","Unlabeled","1991","Army",3267000
"285","Services","No competition","1991","Army",1004929000
"286","Services","Effective Competition","1991","Army",367661000
"287","Services","Competition with single offer","1991","Army",173303000
"288","Services","Unlabeled","1991","Army",10195000
"289","Products","Competition with single offer","1991","Army",572284000
"290","Products","Unlabeled","1991","Army",276565000
"291","Services","No competition","1991","DLA",23270000
"292","Services","Effective Competition","1991","DLA",39155000
"293","Products","Competition with single offer","1991","DLA",742339000
"294","Services","Competition with single offer","1991","Navy",142544383
"295","Services","Effective Competition","1991","Navy",4092247869
"296","Services","No competition","1991","Navy",105668914
"297","Services","No competition","1991","Navy",356035809
"298","Services","No competition","1991","Navy",27076000
"299","Services","Effective Competition","1988","Navy",57000
"300","R&D","Competition with single offer","1988","Navy",222000
"301","Services","Effective Competition","1989","Army",529000
"302","Services","Effective Competition","1989","Navy",28262000
"303","Products","Competition with single offer","1989","Navy",5462000
"304","Products","Effective Competition","1989","Navy",69198971
"305","Products","No competition","1989","Navy",9705000
"306","R&D","No competition","1989","Navy",355000
"307","R&D","No competition","1989","Other DoD",5429000
"308","Services","Competition with single offer","1990","Air Force",130620000
"309","Services","No competition","1990","Air Force",415248000
"310","Services","Unlabeled","1990","Air Force",27151000
"311","Services","No competition","1990","Air Force",555740000
"312","Services","No competition","1990","Air Force",40805000
"313","Services","Unlabeled","1990","Air Force",53894000
"314","Services","No competition","1990","Army",116046000
"315","Services","Effective Competition","1990","Army",400964000
"316","Services","Competition with single offer","1990","Army",112442000
"317","Services","Effective Competition","1990","Army",866768000
"318","Services","No competition","1990","Army",397515000
"319","Services","No competition","1990","Army",194169000
"320","Services","Unlabeled","1990","Army",48276000
"321","Products","Competition with single offer","1990","Army",157277000
"322","Products","Unlabeled","1990","Army",941974000
"323","Services","No competition","1990","DLA",532000
"324","Services","Effective Competition","1990","DLA",14621000
"325","Services","Effective Competition","1990","DLA",170000
"326","Services","Competition with single offer","1990","DLA",2869000
"327","Services","No competition","1990","DLA",30000
"328","Products","Competition with single offer","1990","DLA",241520000
"329","Products","No competition","1990","DLA",22520000
"330","Services","Unlabeled","1990","Navy",45424000
"331","Services","No competition","1990","Navy",21696000
"332","Products","Unlabeled","1990","Navy",429012000
"333","R&D","Competition with single offer","1990","Navy",292319000
"334","R&D","No competition","1990","Navy",1479761000
"335","Services","No competition","1990","Other DoD",1396000
"336","Services","No competition","1990","Other DoD",2328000
"337","Services","Unlabeled","1990","Other DoD",370000
"338","Services","Competition with single offer","1990","Other DoD",17178000
"339","Services","No competition","1990","Other DoD",114021000
"340","Products","Competition with single offer","1990","Other DoD",9566000
"341","R&D","No competition","1990","Other DoD",149745000
"342","Services","No competition","1991","Air Force",251948000
"343","Services","No competition","1991","Air Force",233361000
"344","Services","Competition with single offer","1991","Air Force",2117000
"345","Services","No competition","1991","Air Force",889000
"346","Services","No competition","1991","Air Force",159089000
"347","Services","Unlabeled","1991","Air Force",15872000
"348","Services","Effective Competition","1991","Army",668543000
"349","Services","No competition","1991","Army",29047000
"350","Services","Unlabeled","1991","Army",114783000
"351","Services","No competition","1991","Army",25706000
"352","Products","Effective Competition","1991","Army",4928080000
"353","Services","Effective Competition","1991","DLA",73609000
"354","Services","No competition","1991","DLA",198000
"355","Products","Effective Competition","1991","DLA",9184149000
"356","Services","No competition","1991","Navy",279529537
"357","Products","Competition with single offer","1991","Navy",442699963
"358","Products","Effective Competition","1991","Navy",9646535735
"359","Services","Effective Competition","1987","Army",-171000
"360","Services","No competition","1988","Navy",1825000
"361","Services","Effective Competition","1988","Navy",70000
"362","Products","No competition","1988","Navy",-293330
"363","Services","Effective Competition","1989","Army",70000
"364","Services","No competition","1989","Navy",15794000
"365","Services","No competition","1989","Navy",445000
"366","Services","Competition with single offer","1989","Other DoD",213000
"367","Services","No competition","1989","Other DoD",43000
"368","Services","Effective Competition","1989","Other DoD",12159000
"369","R&D","Competition with single offer","1989","Other DoD",4920000
"370","R&D","Unlabeled","1989","Other DoD",1431000
"371","Services","Unlabeled","1990","Air Force",147126000
"372","Services","No competition","1990","Air Force",66099000
"373","Services","No competition","1990","Air Force",182000
"374","Services","Unlabeled","1990","Air Force",204578000
"375","Services","No competition","1990","Army",19499000
"376","Services","Unlabeled","1990","Army",1039000
"377","Services","No competition","1990","Army",1.88e+08
"378","Products","No competition","1990","Army",3793762000
"379","Products","Unlabeled","1990","Army",5376470000
"380","R&D","Effective Competition","1990","Army",1088106000
"381","Services","Unlabeled","1990","DLA",29000
"382","Services","Competition with single offer","1990","DLA",37390000
"383","Products","Unlabeled","1990","DLA",5913656000
"384","Services","No competition","1990","Navy",1995463000
"385","Services","No competition","1990","Navy",172893000
"386","Services","No competition","1990","Navy",1547000
"387","Services","Unlabeled","1990","Navy",60733000
"388","R&D","Unlabeled","1990","Navy",2659000
"389",NA,"Unlabeled","1990","Other DoD",NA
"390","Services","No competition","1990","Other DoD",330000
"391","Services","Unlabeled","1990","Other DoD",2477000
"392","Services","Effective Competition","1990","Other DoD",386283000
"393","Products","No competition","1990","Other DoD",285000
"394","R&D","Effective Competition","1990","Other DoD",618822000
"395","Services","Competition with single offer","1991","Air Force",45876000
"396","Services","No competition","1991","Air Force",184386000
"397","Services","Effective Competition","1991","Air Force",2568353000
"398","Services","Effective Competition","1991","Air Force",2544301000
"399","Services","No competition","1991","Air Force",295413000
"400","Products","Competition with single offer","1991","Air Force",743410000
"401","Products","No competition","1991","Air Force",8090335000
"402","Products","Unlabeled","1991","Air Force",994467000
"403","R&D","No competition","1991","Air Force",1502004000
"404","Services","No competition","1991","Army",202004000
"405","Services","Effective Competition","1991","Army",1294130000
"406","Products","No competition","1991","Army",2899809000
"407","Services","No competition","1991","DLA",3537000
"408","Services","Effective Competition","1991","DLA",19380000
"409","Products","No competition","1991","DLA",1153627000
"410","R&D","Effective Competition","1991","DLA",6942000
"411","Services","No competition","1991","Navy",162688630
"412","Services","No competition","1991","Navy",10973986
"413","Services","No competition","1991","Navy",543568873
"414","Products","Unlabeled","1991","Navy",160810498
"415","R&D","Competition with single offer","1991","Navy",317955921
"416","Services","Competition with single offer","1991","Other DoD",2883000
"417","Services","No competition","1991","Other DoD",4044000
"418","Services","Effective Competition","1988","Army",-39000
"419","Services","No competition","1988","Navy",450000
"420","Services","Competition with single offer","1988","Navy",25000
"421","Products","Unlabeled","1988","Other DoD",44000
"422","R&D","Competition with single offer","1988","Other DoD",2e+05
"423","Services","No competition","1989","Army",150000
"424","Products","Unlabeled","1989","Army",176667000
"425","R&D","Effective Competition","1989","Army",3822000
"426","Services","Competition with single offer","1989","Navy",3702000
"427","Services","No competition","1989","Navy",12353000
"428","Services","No competition","1989","Navy",1021000
"429","Services","Unlabeled","1989","Navy",1467000
"430","Products","No competition","1989","Navy",121922975
"431","R&D","Unlabeled","1989","Navy",25000
"432","Services","Effective Competition","1989","Other DoD",32000
"433","R&D","Effective Competition","1989","Other DoD",44829000
"434",NA,"Unlabeled","1990","Air Force",NA
"435","Services","No competition","1990","Air Force",121405000
"436","Services","Effective Competition","1990","Air Force",1741016000
"437","Services","Effective Competition","1990","Air Force",1211926000
"438","Services","No competition","1990","Air Force",378017000
"439","Products","Competition with single offer","1990","Air Force",290718000
"440","R&D","Effective Competition","1990","Air Force",4441796000
"441","R&D","No competition","1990","Air Force",1909765000
"442","Services","No competition","1990","Army",100160000
"443","Products","No competition","1990","Army",586107000
"444","Services","No competition","1990","DLA",5970000
"445","Services","Effective Competition","1990","DLA",25098000
"446","Products","No competition","1990","DLA",523016000
"447","R&D","Effective Competition","1990","DLA",14467000
"448","Services","No competition","1990","Navy",105537920
"449","Services","No competition","1990","Navy",2143000
"450","Services","Competition with single offer","1990","Navy",3811000
"451","Services","No competition","1990","Navy",64000
"452","Services","Effective Competition","1990","Navy",159676
"453","Services","No competition","1990","Navy",209611000
"454","Services","Competition with single offer","1990","Other DoD",1607000
"455","Services","No competition","1990","Other DoD",1309000
"456","Services","Effective Competition","1990","Other DoD",164722000
"457","Services","Unlabeled","1990","Other DoD",30000
"458","R&D","Unlabeled","1990","Other DoD",4462000
"459","Services","Unlabeled","1991","Air Force",24147000
"460","Services","Unlabeled","1991","Air Force",242000
"461","Services","No competition","1991","Air Force",77336000
"462","Services","No competition","1991","Air Force",66000
"463","Services","No competition","1991","Army",55503000
"464","Services","Unlabeled","1991","Army",1475000
"465","Products","No competition","1991","Army",6068057000
"466","R&D","Unlabeled","1991","Army",1410000
"467","Services","Competition with single offer","1991","DLA",34944000
"468","Services","No competition","1991","DLA",212000
"469","Services","No competition","1991","Navy",825722639
"470","Services","Competition with single offer","1991","Navy",103701050
"471","Services","No competition","1991","Navy",173406198
"472","Services","No competition","1991","Navy",604776
"473","Services","Unlabeled","1991","Other DoD",49000
"474","Services","Effective Competition","1991","Other DoD",638829000
"475","R&D","Effective Competition","1991","Other DoD",792848000
"476","Services","No competition","1991","Other DoD",35000
"477","Services","No competition","1991","Other DoD",442292000
"478","Services","Competition with single offer","1991","Other DoD",126654000
"479","Services","No competition","1991","Other DoD",40506000
"480","Products","Effective Competition","1991","Other DoD",168558000
"481","Services","No competition","1992","Air Force",188250004
"482","Services","Unlabeled","1992","Air Force",23800932
"483","Services","Effective Competition","1992","Air Force",47079440
"484","Services","No competition","1992","Air Force",937916733
"485","Products","No competition","1992","Air Force",2548988480
"486","Products","Unlabeled","1992","Air Force",-957573
"487","R&D","No competition","1992","Air Force",1491186686
"488","Services","Competition with single offer","1992","Army",39863700
"489","Services","Effective Competition","1992","Army",126271579
"490","Services","Competition with single offer","1992","Army",207848102
"491","Services","No competition","1992","Army",273474345
"492","Products","Unlabeled","1992","Army",147573370
"493","R&D","No competition","1992","Army",332061600
"494","Services","No competition","1992","DLA",1708289
"495","Services","Competition with single offer","1992","DLA",8131815
"496","Services","Competition with single offer","1992","DLA",432570
"497","Services","No competition","1992","Navy",15625896
"498","Services","Effective Competition","1992","Navy",2398241335
"499","Products","Competition with single offer","1992","Navy",298113775
"500","R&D","Effective Competition","1992","Navy",1612169903
"501","R&D","Unlabeled","1992","Navy",13369732
"502","R&D","Unlabeled","1992","Navy",822792
"503","Services","Effective Competition","1992","Other DoD",16157461
"504","Services","No competition","1992","Other DoD",449055727
"505","Services","Competition with single offer","1992","Other DoD",166920811
"506","Services","No competition","1992","Other DoD",82344900
"507","Services","No competition","1992","Other DoD",29282972
"508","R&D","No competition","1992","Other DoD",107240610
"509","Services","No competition","1993","Air Force",139556294
"510","Services","No competition","1993","Air Force",207218219
"511","Services","Effective Competition","1993","Air Force",438887951
"512","Services","Unlabeled","1993","Air Force",3550010
"513","Services","No competition","1993","Air Force",946432
"514","R&D","No competition","1993","Air Force",1711844383
"515","Services","Effective Competition","1993","Army",706483769
"516","Services","Effective Competition","1993","Army",126752927
"517","Services","Competition with single offer","1993","Army",147814475
"518","R&D","Competition with single offer","1993","Army",257763881
"519","Services","Effective Competition","1993","DLA",13004647
"520","Services","No competition","1993","DLA",1121000
"521","Services","Effective Competition","1993","DLA",16842143
"522","Services","Competition with single offer","1993","DLA",725670
"523","R&D","Competition with single offer","1993","DLA",118665
"524","Services","Competition with single offer","1993","Navy",89411833
"525","Services","Unlabeled","1993","Navy",4033092
"526","Services","No competition","1993","Navy",20055452
"527","R&D","Effective Competition","1993","Navy",1610310220
"528","Services","Effective Competition","1993","Other DoD",142653058
"529","Services","No competition","1993","Other DoD",50617241
"530","R&D","No competition","1993","Other DoD",293788023
"531","R&D","No competition","1993","Other DoD",137199927
"532","Services","Competition with single offer","1994","Air Force",96939006
"533","Services","No competition","1994","Air Force",254151381
"534","Services","Effective Competition","1992","Air Force",1308182857
"535","Services","Unlabeled","1992","Air Force",361341
"536","Services","No competition","1992","Air Force",185951461
"537","Services","No competition","1992","Air Force",299203712
"538","Services","Effective Competition","1992","Air Force",561579729
"539","R&D","Unlabeled","1992","Air Force",1258494949
"540","Services","No competition","1992","Army",2282962
"541","R&D","Competition with single offer","1992","Army",221110472
"542","R&D","No competition","1992","Army",1268522709
"543","Services","Competition with single offer","1992","Navy",102496930
"544","Services","Unlabeled","1992","Navy",566237
"545","Services","Effective Competition","1992","Navy",510332635
"546","Services","Unlabeled","1992","Navy",28516988
"547","Products","No competition","1992","Navy",1094672086
"548","R&D","No competition","1992","Navy",667942873
"549","Services","No competition","1992","Other DoD",480133
"550","Services","Competition with single offer","1992","Other DoD",54375207
"551","Products","Effective Competition","1992","Other DoD",200835021
"552","Products","Unlabeled","1992","Other DoD",9e+05
"553","R&D","No competition","1992","Other DoD",266074672
"554","Services","Effective Competition","1993","Air Force",1198898254
"555","Services","No competition","1993","Air Force",150690862
"556","Services","Effective Competition","1993","Air Force",13514931
"557","Services","No competition","1993","Air Force",805901483
"558","Products","No competition","1993","Air Force",3670117531
"559","R&D","Unlabeled","1993","Air Force",556091780
"560","Services","Competition with single offer","1993","Army",71096489
"561","Services","Unlabeled","1993","Army",8080299
"562","Services","No competition","1993","Army",698037161
"563","Products","No competition","1993","Army",3724676224
"564","Products","Unlabeled","1993","Army",185706
"565","Services","Competition with single offer","1993","DLA",7687700
"566","Services","No competition","1993","DLA",4382744
"567","Products","No competition","1993","DLA",84266972
"568","R&D","No competition","1993","DLA",1480394
"569","Services","Effective Competition","1993","Navy",2465542013
"570","Services","Effective Competition","1993","Navy",455711232
"571","Services","Effective Competition","1993","Navy",2625020142
"572","Services","Unlabeled","1993","Navy",4323814
"573","Products","Competition with single offer","1993","Navy",199983594
"574","Products","No competition","1993","Navy",754921371
"575","R&D","No competition","1993","Navy",379348523
"576","R&D","Unlabeled","1993","Navy",15515579
"577","Services","Effective Competition","1993","Other DoD",54920604
"578","Services","No competition","1993","Other DoD",54767815
"579","Services","No competition","1993","Other DoD",546942528
"580","Services","Competition with single offer","1993","Other DoD",276000896
"581","Services","No competition","1993","Other DoD",19247852
"582","Products","Effective Competition","1993","Other DoD",344179251
"583","Services","No competition","1994","Air Force",242461563
"584","Services","Effective Competition","1994","Air Force",59491553
"585","Products","Unlabeled","1994","Air Force",769819337
"586","Services","Unlabeled","1994","Army",553132
"587","Services","Competition with single offer","1994","Army",136069343
"588","Services","Competition with single offer","1994","Army",80959441
"589","Services","Effective Competition","1994","Army",1037904672
"590","Services","Effective Competition","1994","Army",40260218
"591","Services","Competition with single offer","1991","DLA",34000
"592","Services","Effective Competition","1991","DLA",68000
"593","Services","No competition","1991","DLA",1126000
"594","Services","No competition","1991","DLA",88000
"595","Products","No competition","1991","DLA",193976000
"596","Products","No competition","1991","DLA",98700000
"597","Services","No competition","1991","Navy",115478082
